Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
WIN2012-CIS,System,IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,User / Device Claims,{0CCE9247-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Network Policy Server,{0CCE9243-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success,,1
WIN2012-CIS,System,IPsec Extended Mode,{0CCE921A-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,IPsec Quick Mode,{0CCE9219-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,IPsec Main Mode,{0CCE9218-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Success,,1
WIN2012-CIS,System,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success,,1
WIN2012-CIS,System,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,File Share,{0CCE9224-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Central Policy Staging,{0CCE9246-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},Success and Failure,,3
